Date,Close_sp500,Close_tbill,Close_msft
2000-10-18,1342.13,6.12,25.79
2000-10-19,1388.76,6.12,30.84
2000-10-20,1396.93,6.12,32.49
2000-10-23,1395.78,6.15,30.97
2000-10-24,1398.13,6.16,30.65
2000-10-25,1364.9,6.18,30.53
2000-10-26,1364.44,6.16,32.12
2000-10-27,1379.58,6.15,33.74
2000-10-30,1398.66,6.18,34.42
2000-10-31,1429.4,6.15,34.32
2000-11-01,1421.22,6.17,34.7
2000-11-02,1428.32,6.17,35.04
2000-11-03,1426.69,6.19,34.02
2000-11-06,1432.19,6.22,34.64
2000-11-07,1431.87,6.22,35.14
2000-11-08,1409.28,6.21,34.61
2000-11-09,1400.14,6.18,35.32
2000-11-10,1365.98,6.17,33.58
2000-11-13,1351.26,6.17,33.11
2000-11-14,1382.95,6.15,34.29
2000-11-15,1389.81,6.17,34.92
2000-11-16,1372.32,6.15,34.36
2000-11-17,1367.72,6.15,34.42
2000-11-20,1342.62,6.16,33.49
2000-11-21,1347.35,6.17,33.77
2000-11-22,1322.36,6.17,34.02
2000-11-24,1341.77,6.17,34.86
2000-11-27,1348.97,6.13,35.23
2000-11-28,1336.09,6.1,33.39
2000-11-29,1341.93,6.05,32.43
2000-11-30,1314.95,6.01,28.6
2000-12-01,1315.23,6.04,28.22
2000-12-04,1324.97,5.98,28.13
2000-12-05,1376.54,5.9,29.84
2000-12-06,1351.46,5.9,28.25
2000-12-07,1343.55,5.92,26.48
2000-12-08,1369.89,5.9,27.13
2000-12-11,1380.2,5.89,28.94
2000-12-12,1371.18,5.89,29.1
2000-12-13,1359.99,5.43,28.53
2000-12-14,1340.93,5.87,27.66
2000-12-15,1312.15,5.83,24.52
2000-12-18,1322.74,5.78,23.83
2000-12-19,1305.6,5.75,22.33
2000-12-20,1264.74,5.67,20.68
2000-12-21,1274.86,5.22,21.65
2000-12-22,1305.95,5.12,23.15
2000-12-26,1315.19,5.59,23.36
2000-12-27,1328.92,5.6,23.15
2000-12-28,1334.22,5.7,22.21
2000-12-29,1320.28,5.73,21.62
2001-01-02,1283.27,5.68,21.62
2001-01-03,1347.56,5.53,23.89
2001-01-04,1333.34,5.24,24.14
2001-01-05,1298.35,4.97,24.49
2001-01-08,1295.86,5.05,24.39
2001-01-09,1300.8,5.09,25.82
2001-01-10,1313.27,5.14,26.36
2001-01-11,1326.82,5.16,27.41
2001-01-12,1318.55,5.13,26.66
2001-01-16,1326.65,5.21,26.2
2001-01-17,1329.47,5.22,26.39
2001-01-18,1347.97,5.14,27.66
2001-01-19,1342.54,5.09,30.4
2001-01-22,1342.9,5.1,29.97
2001-01-23,1360.4,5.09,30.18
2001-01-24,1364.3,5.13,31.37
2001-01-25,1357.51,5.12,30.81
2001-01-26,1354.95,5.03,31.9
2001-01-29,1364.17,4.98,32.15
2001-01-30,1373.73,4.88,31.59
2001-01-31,1366.01,4.84,30.43
2001-02-01,1373.47,4.85,31.09
2001-02-02,1349.47,4.92,30.31
2001-02-05,1354.31,4.95,30.87
2001-02-06,1352.26,4.93,31.18
2001-02-07,1340.89,4.93,32.24
